[2024-05-09T23:20:17.601+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_54.json
[2024-05-09T23:20:17.602+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_54.json
[2024-05-09T23:20:17.606+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_55.json
[2024-05-09T23:20:17.607+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_55.json
[2024-05-09T23:20:17.610+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_56.json
[2024-05-09T23:20:17.611+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_56.json
[2024-05-09T23:20:17.635+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_57.json
[2024-05-09T23:20:17.635+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_57.json
[2024-05-09T23:20:17.641+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_58.json
[2024-05-09T23:20:17.642+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_58.json
[2024-05-09T23:20:17.645+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_59.json
[2024-05-09T23:20:17.646+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_59.json
[2024-05-09T23:20:17.648+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_6.json
[2024-05-09T23:20:17.649+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_6.json
[2024-05-09T23:20:17.652+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_60.json
[2024-05-09T23:20:17.653+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_60.json
[2024-05-09T23:20:17.656+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_61.json
[2024-05-09T23:20:17.657+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_61.json
[2024-05-09T23:20:17.679+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_62.json
[2024-05-09T23:20:17.680+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_62.json
[2024-05-09T23:20:17.684+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_63.json
[2024-05-09T23:20:17.685+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_63.json
[2024-05-09T23:20:17.689+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_64.json
[2024-05-09T23:20:17.689+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_64.json
[2024-05-09T23:20:17.692+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_65.json
[2024-05-09T23:20:17.693+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_65.json
[2024-05-09T23:20:17.695+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_66.json
[2024-05-09T23:20:17.696+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_66.json
[2024-05-09T23:20:17.699+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_67.json
[2024-05-09T23:20:17.699+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_67.json
[2024-05-09T23:20:17.702+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_68.json
[2024-05-09T23:20:17.703+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_68.json
[2024-05-09T23:20:17.706+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_69.json
[2024-05-09T23:20:17.706+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_69.json
[2024-05-09T23:20:17.709+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_7.json
[2024-05-09T23:20:17.709+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_7.json
[2024-05-09T23:20:17.731+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_70.json
[2024-05-09T23:20:17.732+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_70.json
[2024-05-09T23:20:17.737+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_71.json
[2024-05-09T23:20:17.738+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_71.json
[2024-05-09T23:20:17.740+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_72.json
[2024-05-09T23:20:17.741+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_72.json
[2024-05-09T23:20:17.744+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_73.json
[2024-05-09T23:20:17.744+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_73.json
[2024-05-09T23:20:17.747+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_74.json
[2024-05-09T23:20:17.747+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_74.json
[2024-05-09T23:20:17.749+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_75.json
[2024-05-09T23:20:17.749+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_75.json
[2024-05-09T23:20:17.751+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_76.json
[2024-05-09T23:20:17.751+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_76.json
[2024-05-09T23:20:17.754+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_77.json
[2024-05-09T23:20:17.755+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_77.json
[2024-05-09T23:20:17.757+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_78.json
[2024-05-09T23:20:17.758+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_78.json
[2024-05-09T23:20:17.761+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_79.json
[2024-05-09T23:20:17.761+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_79.json
[2024-05-09T23:20:17.763+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_8.json
[2024-05-09T23:20:17.763+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_8.json
[2024-05-09T23:20:17.765+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_80.json
[2024-05-09T23:20:17.766+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_80.json
[2024-05-09T23:20:17.768+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_81.json
[2024-05-09T23:20:17.768+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_81.json
